,0.0,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.7777777777777777,0.8888888888888888,1.0
0,equal,smaller,smaller,smaller,smaller,smaller,smaller,smaller,smaller,smaller
1,equal,smaller,smaller,smaller,smaller,smaller,smaller,smaller,smaller,smaller
2,equal,smaller,smaller,smaller,smaller,smaller,smaller,smaller,smaller,smaller
3,equal,smaller,smaller,smaller,smaller,smaller,smaller,smaller,smaller,smaller
4,larger,smaller,smaller,smaller,smaller,smaller,smaller,smaller,smaller,smaller
5,equal,smaller,smaller,smaller,smaller,smaller,smaller,smaller,smaller,smaller
6,equal,smaller,smaller,smaller,smaller,smaller,smaller,smaller,smaller,smaller
7,equal,smaller,smaller,smaller,smaller,smaller,smaller,smaller,smaller,smaller
8,equal,smaller,smaller,smaller,smaller,smaller,smaller,smaller,smaller,smaller
9,smaller,smaller,smaller,smaller,smaller,smaller,smaller,smaller,smaller,smaller
